placeID,corresp,mentions
l2643,0,1
l2644,0,4
l2646,0,1
l2647,0,1
l2648,0,6
l265,1,2
l2650,0,13
l2651,0,3
l2652,0,17
l2653,0,18
l2655,0,47
l2656,0,4
l2657,0,1
l2658,0,4
l2659,0,1
l266,9,52
l2660,0,2
l2661,0,1
l2663,0,1
l2665,0,21
l2666,0,1
l2667,0,3
l2669,0,2
l267,47,364
l2670,0,1
l2671,0,23
l2673,0,2
l2674,0,1
l2675,0,1
l2677,0,1
l2678,0,5
l2679,0,4
l268,8,25
l2680,0,2
l2681,0,6
l2682,0,1
l2683,0,1
l2684,0,2
l2685,0,7
l2686,0,22
l2688,0,29
l269,14,65
l2691,0,1
l2692,0,1
l2693,0,3
l2694,0,7
l2697,0,34
l2698,0,1
l2699,0,1
l27,1,2
l270,1,15
l2701,0,19
l2702,0,7
l2703,0,4
l2704,0,1
l2705,0,11
l2708,0,2
l2709,0,1
l2710,0,2
l2712,0,3
l2713,0,1
l2716,0,1
l2717,0,10
l2719,0,7
l272,5,42
l2720,0,2
l2721,0,36
l2723,0,2
l2726,0,12
l2727,0,4
l2728,0,26
l2730,0,11
l2732,0,2
l2733,0,2
l2735,0,18
l2736,0,1
l2739,0,5
l2740,0,15
l2741,0,1
l2742,0,3
l2743,0,1
l2744,0,1
l2745,0,3
l2746,0,2
l2747,0,2
l2748,0,1
l2749,0,1
l275,4,9
l2750,0,1
l2751,0,2
l2754,0,1
l2755,0,1
l2756,0,1
l2757,0,1
l2758,0,5
l2759,0,2
l276,3,24
l2760,0,1
l2761,0,1
l2762,0,1
l2763,0,1
l2764,0,4
l2765,0,1
l2766,0,1
l2767,0,1
l2768,0,5
l277,1,1
l2770,0,29
l2771,0,28
l2772,0,40
l2773,0,9
l2774,0,21
l2776,0,3
l2777,0,1
l2778,0,1
l2779,0,23
l278,5,5
l2780,0,1
l2781,0,4
l2783,0,3
l2784,0,2
l2785,0,1
l2786,0,19
l2787,0,6
l2788,0,1
l2789,0,4
l279,11,50
l2792,0,4
l2793,0,3
l2794,0,1
l2795,0,1
l2796,0,2
l2798,0,2
l2799,0,4
l28,1452,2840
l280,97,334
l2800,0,5
l2801,0,28
l2802,0,7
l2803,0,2
l2804,0,1
l2805,0,23
l2808,0,2
l281,1,4
l2810,0,1
l2812,0,15
l2813,0,10
l2814,0,8
l2815,0,1
l2816,0,1
l2817,0,1
l282,0,1
l2821,0,3
l2822,0,3
l2823,0,1
l2824,0,1
l2825,0,1
l2826,5,84
l2827,0,3
l2828,0,5
l2829,0,49
l283,1,1
l2830,0,9
l2831,0,9
l2832,0,1
l2833,0,1
l2834,0,10
l2835,0,37
l2836,0,24
l2837,0,1
l2838,0,1
l2839,0,3
l284,19,183
l2840,0,2
l2841,0,2
l2844,0,4
l2846,0,1
l2847,0,2
l285,44,88
l2851,0,2
l2852,0,7
l2853,0,4
l2855,0,1
l2857,0,2
l2858,0,12
l2859,0,6
l2860,0,4
l2861,0,1
l2862,0,1
l2863,0,1
l2864,0,2
l2865,0,65
l2866,0,9
l2868,0,1
l2869,0,1
l287,36,44
